id,cliente_id,titulo,prioridade,status,categoria,criado_em,resolvido_em
1,1,Integracao com Slack falhou,alta,resolvido,integracao,2026-01-10,2026-01-11
2,2,Duvida sobre pricing,baixa,resolvido,billing,2026-01-12,2026-01-12
3,3,Dashboard nao carrega,alta,resolvido,bug,2026-01-13,2026-01-14
4,1,Exportar relatorio PDF,media,resolvido,feature,2026-01-15,2026-01-17
5,5,API retornando 500,alta,resolvido,bug,2026-01-16,2026-01-16
6,4,Cancelar assinatura,baixa,resolvido,billing,2026-01-18,2026-01-18
7,7,SSO nao funciona,alta,aberto,integracao,2026-01-20,
8,2,Upgrade para Pro,baixa,resolvido,billing,2026-01-22,2026-01-22
9,3,Dados duplicados no import,media,resolvido,bug,2026-01-25,2026-01-27
10,1,Webhook timeout,alta,resolvido,integracao,2026-01-28,2026-01-29
11,9,Autenticacao 2FA,media,resolvido,feature,2026-02-01,2026-02-03
12,11,HIPAA compliance docs,alta,aberto,compliance,2026-02-02,
13,5,Lentidao no dashboard,media,resolvido,bug,2026-02-05,2026-02-06
14,12,Integracao Shopify,media,aberto,integracao,2026-02-07,
15,7,Permissoes de usuario,baixa,resolvido,feature,2026-02-08,2026-02-09
16,10,Material de treinamento,baixa,resolvido,suporte,2026-02-10,2026-02-10
17,2,Erro no checkout,alta,resolvido,bug,2026-02-12,2026-02-13
18,3,Migrar dados legados,media,aberto,feature,2026-02-14,
19,8,Reembolso solicitado,alta,resolvido,billing,2026-02-15,2026-02-15
20,11,Alerta falso positivo,media,resolvido,bug,2026-02-16,2026-02-16
